"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLH37,Essex Thames Gateway,"11,220","11,313","11,960","12,357","13,019","13,357","13,681","14,140","14,601","14,954","15,447","15,950","16,533","16,555","16,663","17,179","17,394","17,821","18,738","19,282","19,896","20,821","21,394","21,395","21,974","23,205","25,054"
ITL2,TLH4,Cambridgeshire and Peterborough,"10,959","11,227","11,924","12,460","12,719","13,136","13,225","13,796","14,545","15,153","15,703","15,988","16,263","16,362","16,417","16,931","17,560","18,344","19,128","19,516","19,965","20,527","21,220","21,174","21,680","22,851","24,862"
ITL3,TLH41,Peterborough,"9,825","10,079","10,813","11,449","11,736","11,903","11,930","12,121","12,448","13,079","13,647","13,807","13,881","14,097","14,163","14,486","14,793","15,372","15,914","16,045","16,351","16,626","17,201","17,455","17,809","18,938","20,393"
ITL3,TLH42,Cambridgeshire CC,"11,288","11,556","12,242","12,748","12,997","13,487","13,591","14,273","15,146","15,752","16,300","16,627","16,966","17,031","17,085","17,665","18,398","19,248","20,116","20,599","21,102","21,764","22,500","22,358","22,911","24,085","26,264"
ITL2,TLH5,Norfolk,"9,738","9,902","10,177","10,645","11,235","11,374","11,673","11,954","12,352","12,467","13,133","13,708","14,092","14,549","14,873","15,445","15,793","16,158","17,023","17,055","17,619","18,286","18,946","18,936","19,560","20,589","22,357"
ITL3,TLH51,Norwich and East Norfolk,"9,866","9,996","10,274","10,721","11,260","11,406","11,700","11,981","12,321","12,378","13,088","13,641","14,002","14,404","14,737","15,290","15,510","15,937","16,900","16,519","16,908","17,325","17,927","18,033","18,735","19,661","21,327"
ITL3,TLH52,North and West Norfolk,"9,261","9,438","9,777","10,252","10,919","11,106","11,414","11,655","12,080","12,213","12,828","13,509","14,032","14,640","14,987","15,520","16,107","16,384","17,077","17,205","17,882","18,844","19,671","19,459","19,919","21,126","23,020"
ITL3,TLH53,Breckland and South Norfolk,"10,043","10,246","10,446","10,935","11,518","11,598","11,894","12,216","12,667","12,848","13,500","13,999","14,277","14,663","14,951","15,587","15,882","16,246","17,139","17,645","18,337","19,071","19,647","19,666","20,323","21,325","23,113"
ITL2,TLH6,Suffolk,"10,001","10,076","10,413","11,221","11,819","12,144","12,432","12,933","13,340","13,703","14,158","14,982","15,464","15,573","15,584","16,249","16,795","17,259","18,240","18,411","18,748","19,448","19,889","19,892","20,733","21,906","23,754"
ITL3,TLH61,Babergh and Mid Suffolk,"11,013","11,031","11,281","12,181","12,576","12,941","13,176","13,716","14,203","14,548","15,011","15,843","16,348","16,530","16,513","17,309","17,927","18,435","19,593","19,798","20,297","21,098","21,468","21,258","22,496","23,796","25,739"
ITL3,TLH62,Ipswich,"9,746","9,751","10,207","10,948","11,524","11,884","12,169","12,489","12,662","13,008","13,401","13,997","14,436","14,520","14,494","14,814","15,125","15,445","15,930","16,172","16,530","16,789","17,352","17,846","18,392","19,095","20,728"
ITL3,TLH63,East Suffolk,"9,763","9,925","10,198","10,965","11,452","11,733","12,146","12,681","13,156","13,538","13,994","14,939","15,536","15,707","15,875","16,598","17,182","17,754","18,907","18,951","19,285","20,023","20,196","20,181","21,027","22,404","24,545"
ITL3,TLH64,West Suffolk,"9,481","9,540","9,957","10,771","11,748","12,067","12,234","12,779","13,184","13,547","14,035","14,856","15,189","15,161","15,024","15,753","16,360","16,753","17,716","17,980","18,137","19,017","19,775","19,622","20,227","21,303","22,797"
ITL1,TLI,London,"12,910","13,338","14,172","15,208","15,763","15,965","16,662","17,573","18,587","19,530","20,927","21,540","21,436","21,574","21,396","22,697","23,881","24,885","26,649","27,096","27,573","29,107","29,613","29,162","30,714","32,553","35,361"
ITL2,TLI3,Inner London - West,"20,558","21,586","23,063","25,072","25,243","24,952","25,701","27,642","30,016","32,793","36,569","38,930","38,825","37,786","36,374","39,333","43,343","46,266","49,463","50,377","51,442","54,743","55,655","53,950","57,517","60,291","65,958"
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,"27,433","27,411","28,537","30,517","30,218","29,600","30,609","32,834","35,312","38,619","43,094","45,874","45,407","44,101","42,847","46,216","50,963","54,784","57,233","57,031","58,117","61,523","62,245","61,151","64,897","69,166","77,674"
ITL3,TLI34,Wandsworth,"13,896","15,432","17,107","19,096","19,679","19,572","20,114","21,738","23,953","26,059","29,072","30,210","30,242","29,171","27,830","29,390","31,678","33,957","35,843","36,503","36,736","38,913","39,584","38,487","41,314","43,967","47,804"
ITL3,TLI35,Westminster and City of London,"23,214","24,355","26,283","28,312","28,689","28,325","29,129","31,238","33,657","36,912","41,379","44,575","45,092","44,651","43,348","47,637","53,648","57,639","63,169","66,132","67,833","71,772","72,168","68,618","71,580","74,794","79,555"
ITL3,TLI36,Camden,"16,235","17,994","19,142","21,009","20,979","20,988","21,520","23,273","25,607","28,092","31,240","33,850","33,712","32,711","31,105","34,177","37,831","39,450","43,415","44,879","46,942","51,256","53,723","52,249","56,989","56,704","61,657"
ITL2,TLI4,Inner London - East,"10,833","11,172","12,045","13,011","13,462","13,720","14,325","15,229","16,253","17,356","18,507","18,822","18,903","19,382","19,414","20,510","21,328","22,313","24,084","24,718","25,467","26,994","27,797","27,688","29,154","30,693","32,993"
ITL3,TLI41,Hackney and Newham,"6,480","7,071","7,856","8,858","9,480","9,795","10,439","11,361","12,445","13,598","14,564","14,886","15,160","15,427","15,486","16,421","17,432","18,245","19,782","20,682","21,631","23,010","23,918","24,013","25,039","26,562","28,347"
ITL3,TLI42,Tower Hamlets,"13,519","13,698","14,419","15,361","15,846","15,881","16,481","17,310","18,302","19,231","20,322","20,669","20,648","20,930","20,806","21,843","22,532","23,376","25,160","26,303","26,737","27,951","28,649","28,440","28,901","29,613","31,111"
ITL3,TLI43,Haringey and Islington,"15,190","15,389","16,547","17,592","18,028","18,307","18,777","19,788","20,852","22,155","23,601","23,919","23,738","24,331","24,334","25,754","26,256","27,251","29,027","28,758","29,649","31,429","32,296","31,912","34,350","36,253","39,667"
ITL3,TLI44,Lewisham and Southwark,"9,888","10,242","11,043","11,929","12,326","12,604","13,298","14,140","15,122","16,105","17,169","17,476","17,615","18,246","18,363","19,409","20,263","21,427","22,859","23,412","24,453","25,987","26,703","26,633","28,246","29,889","32,138"
ITL3,TLI45,Lambeth,"11,200","11,474","12,442","13,476","13,793","14,068","14,633","15,485","16,398","17,489","18,761","19,083","19,211","19,868","19,926","20,954","21,879","22,959","25,784","27,010","26,944","28,716","29,543","29,540","31,181","32,953","35,607"
ITL2,TLI5,Outer London - East and North East,"10,945","11,171","11,655","12,338","13,109","13,329","13,883","14,440","14,897","15,270","16,173","16,543","16,531","16,752","16,727","17,647","18,175","18,703","19,894","20,384","20,795","21,868","22,280","22,318","23,207","24,718","26,796"
ITL3,TLI51,Bexley and Greenwich,"12,375","12,434","12,969","13,547","14,270","14,424","14,934","15,424","15,851","16,189","17,065","17,405","17,449","17,676","17,583","18,350","19,023","19,605","20,649","21,127","21,187","22,313","22,878","22,900","23,724","25,277","27,196"
ITL3,TLI52,Barking & Dagenham and Havering,"9,890","10,218","10,643","11,291","12,042","12,328","12,931","13,462","13,876","14,245","15,148","15,547","15,526","15,725","15,810","16,612","17,003","17,302","18,195","18,649","19,009","19,933","20,260","20,432","21,102","22,524","24,410"
ITL3,TLI53,Redbridge and Waltham Forest,"10,704","10,909","11,464","12,171","13,002","13,297","13,832","14,388","14,886","15,233","16,064","16,355","16,366","16,609","16,560","17,611","18,134","18,728","20,161","20,668","21,423","22,598","22,972","22,976","23,968","25,505","27,753"
ITL3,TLI54,Enfield,"10,591","10,967","11,346","12,191","12,961","13,057","13,634","14,320","14,810","15,280","16,350","16,864","16,749","16,956","16,922","18,019","18,524","19,181","20,599","21,146","21,604","22,633","22,997","22,938","24,075","25,633","27,981"
ITL2,TLI6,Outer London - South,"12,538","12,921","13,659","14,565","15,086","15,358","16,195","17,138","17,893","18,399","19,447","19,775","19,473","19,885","20,078","21,112","21,881","22,486","23,967","24,308","24,519","25,907","26,260","25,887","27,097","28,911","31,553"
ITL3,TLI61,Bromley,"13,351","13,913","14,610","15,538","16,115","16,322","17,263","18,310","19,123","19,651","20,716","20,946","20,597","21,005","21,325","22,481","23,305","24,238","25,829","26,066","26,243","27,666","27,961","27,414","28,925","31,237","34,399"
ITL3,TLI62,Croydon,"9,879","10,231","11,007","11,848","12,488","12,871","13,661","14,483","15,180","15,693","16,648","16,993","16,841","17,166","17,312","18,249","18,810","19,244","20,617","20,980","21,353","22,651","23,044","22,872","23,771","25,146","27,096"
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton","13,820","14,124","14,835","15,768","16,171","16,409","17,220","18,187","18,944","19,428","20,533","20,917","20,547","21,033","21,204","22,230","23,101","23,637","25,119","25,506","25,629","27,054","27,424","27,020","28,271","30,107","32,944"
ITL2,TLI7,Outer London - West and North West,"12,868","13,297","14,042","14,902","15,503","15,844","16,629","17,209","18,014","18,565","19,607","20,106","19,946","20,257","20,238","21,441","22,440","23,256","25,062","25,253","25,463","26,677","26,927","26,367","27,883","29,709","32,340"
ITL3,TLI71,Barnet,"12,300","12,941","13,623","14,692","15,245","15,635","16,443","17,077","18,080","18,849","20,009","20,596","20,274","20,677","20,727","22,180","23,219","24,365","27,030","27,854","28,390","29,842","30,183","29,341","31,368","33,473","36,880"
ITL3,TLI72,Brent,"10,648","11,066","11,885","12,625","13,203","13,699","14,457","15,044","15,978","16,431","17,358","17,790","17,921","18,152","18,167","19,291","20,101","20,937","22,327","22,586","22,845","23,993","24,060","23,858","25,382","27,396","29,569"
ITL3,TLI73,Ealing,"12,672","12,966","13,663","14,375","14,980","15,300","16,098","16,641","17,330","17,850","18,835","19,347","19,279","19,718","19,800","20,898","21,910","23,003","24,597","24,620","24,231","25,087","25,448","25,186","26,257","28,014","30,437"
ITL3,TLI74,Harrow and Hillingdon,"11,072","11,619","12,370","13,153","13,876","14,251","15,015","15,579","16,277","16,671","17,670","18,132","17,933","18,264","18,257","19,286","20,173","20,690","22,143","22,586","22,876","23,722","23,841","23,463","24,445","26,032","28,182"
ITL3,TLI75,Hounslow and Richmond upon Thames,"17,088","17,335","18,084","19,098","19,616","19,786","20,571","21,113","21,874","22,529","23,660","24,196","23,954","24,126","23,949","25,290","26,515","27,192","29,198","28,661","28,937","30,701","31,067","30,029","32,094","33,931","37,016"
ITL1,TLJ,South East,"12,697","12,900","13,332","14,032","14,499","14,824","15,047","15,634","16,193","16,919","17,739","18,090","18,448","18,491","18,665","19,312","20,096","20,576","21,792","22,083","22,640","23,449","24,195","23,856","24,693","26,066","28,187"
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire","13,389","13,609","14,023","14,854","15,226","15,573","15,832","16,445","16,963","17,882","18,788","19,165","19,418","19,307","19,512","20,092","20,781","21,359","22,709","22,992","23,659","24,487","25,280","24,804","25,584","27,022","29,179"
ITL3,TLJ12,Milton Keynes,"11,118","11,276","11,641","12,184","12,541","13,182","13,609","14,336","14,816","15,316","16,120","16,486","16,556","16,795","16,877","17,132","17,293","17,786","18,836","19,164","19,830","20,566","20,919","20,937","21,291","22,648","24,164"
ITL3,TLJ13,Buckinghamshire,"14,543","14,848","15,424","16,232","16,959","17,196","17,326","18,097","18,743","20,049","20,937","21,384","21,844","21,743","21,847","22,351","23,100","23,863","25,468","26,077","26,671","27,320","28,176","27,479","28,701","30,237","32,856"
ITL3,TLJ14,Oxfordshire CC,"13,010","13,235","13,639","14,514","14,847","15,198","15,378","16,080","16,432","17,498","18,093","18,460","18,898","18,704","18,912","19,662","20,329","21,030","22,586","22,507","23,128","24,131","24,973","24,441","25,262","26,824","29,102"
ITL3,TLJ15,Berkshire East,"13,594","13,885","14,135","15,022","15,276","15,601","15,971","16,350","16,924","17,582","18,680","18,998","19,062","18,867","19,061","19,649","20,548","20,952","22,031","22,437","23,195","23,838","24,709","24,361","25,099","26,403","28,390"
ITL3,TLJ16,Berkshire West,"13,530","13,637","14,059","14,965","15,121","15,472","15,819","16,282","16,881","17,606","18,872","19,261","19,308","19,216","19,616","20,217","20,996","21,415","22,608","22,927","23,667","24,661","25,500","24,964","25,491","26,823","28,838"
ITL2,TLJ2,"Surrey, East and West Sussex","13,735","14,112","14,551","15,188","15,684","15,988","16,193","16,756","17,585","18,425","19,243","19,528","19,771","19,944","20,101","20,855","21,856","22,336","23,720","23,994","24,548","25,496","26,266","25,747","26,757","28,363","30,827"
ITL3,TLJ21,Brighton and Hove,"12,134","12,197","12,693","13,444","14,066","14,479","14,663","15,300","15,987","16,351","16,894","17,486","18,054","17,963","18,080","18,568","19,268","19,880","21,216","21,669","22,444","23,102","24,108","23,950","25,135","26,701","28,857"
ITL3,TLJ22,East Sussex CC,"11,563","11,743","12,165","12,725","13,301","13,527","13,785","14,108","14,711","15,244","16,431","16,844","17,199","17,749","17,589","18,091","19,091","19,357","20,468","20,907","21,075","21,734","22,470","22,397","23,253","24,536","26,614"
ITL3,TLJ25,West Surrey,"15,973","16,546","17,167","17,731","18,074","18,455","18,601","19,294","20,362","21,603","22,432","22,678","22,897","22,909","23,138","24,202","25,412","26,176","27,888","27,934","28,765","30,234","31,052","30,081","31,481","33,519","36,583"
ITL3,TLJ26,East Surrey,"15,515","16,220","16,711","17,325","17,637","18,037","18,222","18,865","20,019","21,377","22,264","22,413","22,295","22,351","22,514","23,600","24,657","25,091","26,913","27,099","27,682","28,625","29,540","28,781","29,581","31,077","33,721"
ITL3,TLJ27,West Sussex (South West),"11,194","11,672","11,881","12,614","13,336","13,563","13,817","14,340","15,023","15,641","16,259","16,506","16,870","17,180","17,466","18,078","18,926","19,258","20,466","20,761","21,228","21,912","22,357","22,256","23,096","24,602","26,685"
ITL3,TLJ28,West Sussex (North East),"14,550","14,604","14,834","15,586","16,115","16,340","16,584","17,174","17,791","18,310","18,914","19,059","19,160","19,254","19,571","20,076","20,962","21,288","22,204","22,655","23,139","24,001","24,762","24,011","24,726","26,161","28,411"
ITL2,TLJ3,Hampshire and Isle of Wight,"11,550","11,648","12,059","12,719","13,216","13,556","13,766","14,347","14,702","15,212","16,023","16,449","16,970","16,959","17,133","17,786","18,442","18,836","19,905","20,070","20,581","21,355","22,034","21,825","22,413","23,542","25,363"
ITL3,TLJ31,Portsmouth,"9,341","9,410","9,943","10,680","10,749","11,022","11,116","11,218","11,191","11,420","11,978","12,401","13,030","12,945","13,074","13,266","13,835","14,320","15,299","15,793","16,525","17,105","17,626","17,840","18,503","19,504","21,003"
ITL3,TLJ32,Southampton,"9,670","9,540","9,696","10,248","10,558","10,910","11,111","11,521","11,653","12,208","12,952","13,134","13,546","13,493","13,660","13,951","14,333","14,721","15,267","15,826","16,444","17,009","17,687","17,695","18,162","18,846","19,872"
ITL3,TLJ34,Isle of Wight,"9,698","9,873","10,164","10,560","11,340","11,559","11,708","12,213","12,819","13,320","13,964","14,281","15,089","15,349","15,513","15,690","16,132","16,202","16,742","16,964","17,275","17,955","18,644","18,892","19,639","20,788","22,568"
ITL3,TLJ35,South Hampshire,"10,512","10,645","11,121","11,623","12,260","12,748","13,007","13,619","14,024","14,467","15,235","15,647","16,314","16,315","16,542","17,339","18,018","18,543","19,369","19,384","19,623","20,395","21,041","20,860","21,129","22,312","24,042"
ITL3,TLJ36,Central Hampshire,"13,142","13,349","13,823","14,680","15,267","15,545","15,782","16,562","17,124","17,795","18,717","19,288","19,706","19,728","19,885","20,827","21,655","21,931","23,398","23,540","24,086","25,064","25,853","25,274","26,145","27,359","29,623"
ITL3,TLJ37,North Hampshire,"13,752","13,770","14,125","14,848","15,293","15,619","15,832","16,519","16,789","17,241","18,154","18,573","18,970","18,890","19,078","19,800","20,452","20,912","22,305","22,242","22,922","23,670","24,247","23,928","24,349","25,641","27,636"
ITL2,TLJ4,Kent,"11,392","11,410","11,867","12,541","13,060","13,380","13,606","14,208","14,622","15,147","15,858","16,201","16,698","16,796","16,959","17,512","18,208","18,650","19,572","20,038","20,504","21,106","21,818","21,805","22,703","23,885","25,743"
ITL3,TLJ41,Medway,"10,743","10,488","10,940","11,415","11,920","12,266","12,491","13,073","13,474","13,899","14,586","14,897","15,424","15,477","15,659","15,939","16,195","16,529","17,373","17,851","18,235","18,784","19,422","19,676","20,394","21,493","23,074"
ITL3,TLJ43,Kent Thames Gateway,"10,504","10,579","11,063","11,613","12,091","12,539","12,793","13,277","13,595","14,081","14,768","15,052","15,518","15,637","15,791","16,272","16,738","17,226","18,009","18,664","19,215","19,713","20,380","20,430","21,154","22,216","23,827"
ITL3,TLJ44,East Kent,"8,870","9,080","9,589","10,174","10,776","11,181","11,447","11,972","12,419","12,917","13,586","14,030","14,739","14,914","15,131","15,743","16,326","16,798","17,548","18,044","18,538","19,028","19,730","20,070","20,843","21,776","23,427"
ITL3,TLJ45,Mid Kent,"12,520","12,570","13,015","13,793","14,287","14,470","14,674","15,293","15,647","16,110","16,815","17,050","17,463","17,566","17,620","18,210","18,927","19,299","19,874","20,465","20,784","21,340","21,996","21,952","22,702","24,036","25,811"
ITL3,TLJ46,West Kent,"15,524","15,396","15,765","16,771","17,234","17,400","17,578","18,411","18,910","19,605","20,408","20,755","20,999","20,997","21,161","21,885","23,308","23,816","25,484","25,615","26,134","27,071","27,943","27,176","28,675","30,285","32,988"
ITL1,TLK,South West,"10,959","11,173","11,566","12,001","12,463","12,657","12,977","13,434","13,946","14,652","15,176","15,656","15,745","16,103","16,351","16,716","17,329","17,906","18,704","18,862","19,277","20,007","20,725","20,774","21,484","22,744","24,854"
ITL2,TLK3,Cornwall and Isles of Scilly,"9,641","9,863","10,018","10,472","11,041","11,422","11,634","12,001","12,437","13,052","13,588","13,939","14,176","14,679","14,965","15,276","15,665","16,059","16,606","16,986","17,647","18,209","18,849","19,284","20,143","21,281","23,216"
ITL3,TLK30,Cornwall and Isles of Scilly,"9,641","9,863","10,018","10,472","11,041","11,422","11,634","12,001","12,437","13,052","13,588","13,939","14,176","14,679","14,965","15,276","15,665","16,059","16,606","16,986","17,647","18,209","18,849","19,284","20,143","21,281","23,216"
ITL2,TLK4,Devon,"10,326","10,479","10,820","11,124","11,549","11,790","12,101","12,545","13,042","13,671","14,136","14,745","15,122","15,354","15,445","15,858","16,424","16,869","17,547","17,678","18,073","18,673","19,319","19,540","20,189","21,338","23,333"
ITL3,TLK41,Plymouth,"9,181","9,423","9,670","10,138","10,444","10,584","11,009","11,406","11,651","12,041","12,508","12,966","13,298","13,818","14,003","14,128","14,470","14,836","15,225","15,405","15,981","16,401","17,013","17,237","17,871","18,670","20,223"
ITL3,TLK42,Torbay,"9,925","10,008","10,452","11,082","11,107","11,198","11,643","12,063","12,741","13,261","13,541","14,203","14,452","14,825","14,999","15,330","15,842","16,411","16,720","16,942","17,177","17,649","18,125","18,681","19,189","20,384","22,335"
ITL3,TLK43,Devon CC,"10,813","10,938","11,289","11,471","12,007","12,312","12,558","13,020","13,571","14,302","14,799","15,449","15,865","15,973","16,018","16,544","17,198","17,651","18,490","18,584","18,939","19,616","20,294","20,450","21,114","22,362","24,503"
ITL2,TLK5,West of England,"11,146","11,393","11,872","12,271","12,614","12,839","13,118","13,517","13,906","14,664","15,255","15,794","15,720","16,071","16,361","16,750","17,371","18,027","19,125","19,359","19,817","20,687","21,369","21,178","22,045","23,444","25,446"
ITL3,TLK51,"Bristol, City of","10,429","10,531","10,987","11,576","12,100","12,348","12,518","12,968","13,153","13,795","14,380","14,821","14,796","15,242","15,518","15,786","16,294","16,909","17,729","18,197","18,883","19,518","20,442","20,455","21,370","22,741","24,696"
ITL3,TLK52,Bath & North East Somerset and South Gloucestershire,"11,842","12,223","12,718","12,927","13,096","13,297","13,677","14,032","14,625","15,497","16,094","16,729","16,614","16,875","17,184","17,694","18,428","19,131","20,512","20,517","20,747","21,846","22,286","21,890","22,704","24,129","26,172"
ITL2,TLK6,"North Somerset, Somerset and Dorset","11,345","11,642","12,055","12,442","12,904","13,052","13,456","13,939","14,437","15,232","15,777","16,224","16,122","16,621","16,950","17,271","17,853","18,399","19,242","19,299","19,680","20,419","21,200","21,287","21,999","23,251","25,497"
ITL3,TLK61,North Somerset,"12,276","12,563","13,207","13,413","13,585","13,764","14,055","14,456","14,880","15,710","16,230","16,904","16,974","17,246","17,675","18,102","18,823","19,382","20,706","20,729","20,971","21,606","22,207","22,295","22,980","24,489","26,970"
ITL3,TLK62,Somerset,"10,781","11,100","11,399","11,688","12,242","12,400","12,763","13,314","13,800","14,523","15,075","15,545","15,551","16,116","16,376","16,585","17,017","17,627","18,278","18,315","18,777","19,501","20,246","20,396","21,068","22,256","24,547"
ITL3,TLK63,"Bournemouth, Christchurch and Poole","11,488","11,692","12,219","12,826","13,309","13,364","13,788","14,362","14,907","15,632","16,235","16,497","16,169","16,566","16,810","17,130","17,790","18,173","19,149","19,209","19,602","20,353","21,257","21,216","22,008","23,271","25,259"
ITL3,TLK64,Dorset,"11,500","11,863","12,200","12,607","13,079","13,292","13,797","14,142","14,650","15,595","16,084","16,556","16,429","17,063","17,526","17,957","18,604","19,222","19,938","20,045","20,372","21,185","21,991","22,123","22,830","24,020","26,336"
ITL2,TLK7,Gloucestershire and Wiltshire,"11,513","11,657","12,119","12,751","13,284","13,387","13,693","14,206","14,866","15,537","16,033","16,443","16,541","16,787","17,033","17,411","18,189","18,935","19,683","19,829","20,173","20,977","21,744","21,605","22,204","23,524","25,724"
ITL3,TLK71,Swindon,"11,212","11,507","12,089","12,691","13,316","13,583","13,848","14,110","14,375","14,977","15,358","15,583","15,938","15,787","15,956","16,185","16,591","17,117","17,614","17,915","18,224","18,787","19,445","19,535","19,811","20,696","22,214"
ITL3,TLK72,Wiltshire,"11,641","11,700","12,129","12,903","13,410","13,573","14,059","14,494","15,006","15,659","16,218","16,585","16,576","16,886","17,281","17,600","18,491","19,130","19,968","20,116","20,706","21,745","22,620","22,277","22,865","24,239","26,527"
ITL3,TLK73,Gloucestershire CC,"11,511","11,672","12,121","12,654","13,178","13,180","13,359","14,012","14,918","15,627","16,116","16,626","16,721","17,056","17,214","17,695","18,520","19,431","20,200","20,291","20,457","21,168","21,889","21,826","22,544","23,980","26,362"
ITL1,TLL,Wales,"9,251","9,297","9,721","10,281","10,707","11,049","11,394","11,845","12,141","12,526","12,885","13,423","13,440","13,642","13,865","14,290","14,608","15,086","15,585","15,711","16,268","16,893","17,356","17,598","18,150","18,858","20,140"
ITL2,TLL3,North Wales,"9,661","9,706","10,035","10,597","10,991","11,342","11,719","12,239","12,574","12,843","13,134","13,626","13,649","13,918","14,258","14,702","15,101","15,618","16,176","16,310","16,804","17,315","17,671","17,886","18,428","19,275","20,670"
ITL3,TLL31,Isle of Anglesey,"9,510","9,699","9,922","10,428","10,633","10,765","11,288","11,960","12,160","12,209","12,775","13,548","13,794","14,034","14,200","14,747","15,274","15,546","16,080","16,149","16,493","17,146","17,389","17,647","18,457","19,444","20,572"
ITL3,TLL32,Gwynedd,"8,730","8,777","9,214","9,446","10,045","10,413","10,810","11,399","11,686","12,343","12,424","12,575","12,841","13,010","13,138","13,424","13,897","14,550","15,077","15,198","15,574","15,838","16,380","16,813","17,479","18,167","19,362"
ITL3,TLL33,Conwy and Denbighshire,"10,219","10,264","10,478","10,846","11,311","11,778","12,052","12,470","13,003","13,159","13,472","14,097","14,062","14,300","14,685","15,196","15,490","15,900","16,320","16,371","16,923","17,627","17,956","18,181","18,742","19,455","20,889"
ITL3,TLL34,Flintshire and Wrexham,"9,695","9,699","10,090","10,944","11,243","11,555","11,964","12,495","12,737","12,979","13,275","13,743","13,652","13,996","14,435","14,871","15,279","15,873","16,549","16,761","17,294","17,731","18,055","18,164","18,577","19,553","21,068"
ITL2,TLL4,Mid and South West Wales,"9,333","9,401","9,767","10,101","10,596","10,925","11,227","11,666","12,011","12,520","12,778","13,478","13,594","13,742","13,891","14,338","14,589","15,095","15,479","15,534","16,135","16,667","17,158","17,477","17,973","18,519","19,756"
ITL3,TLL41,Mid Wales,"9,263","9,209","9,558","10,012","10,393","10,757","11,123","11,710","12,119","12,721","12,843","13,510","13,764","14,217","14,311","14,605","14,799","15,189","15,611","15,758","16,796","17,546","17,939","18,293","18,980","19,478","20,773"
ITL3,TLL42,South West Wales,"9,222","9,343","9,625","9,680","10,140","10,628","10,990","11,421","12,060","12,726","12,898","13,508","13,644","13,859","14,175","14,747","14,998","15,422","15,777","15,852","16,219","16,731","17,150","17,382","17,908","18,620","19,979"
ITL3,TLL43,Swansea,"9,481","9,568","10,062","10,386","11,114","11,408","11,607","11,958","12,005","12,312","12,593","13,588","13,629","13,387","13,441","13,852","13,986","14,749","15,132","15,131","15,670","16,347","16,945","17,306","17,739","18,128","19,152"
ITL3,TLL44,Neath Port Talbot,"9,420","9,524","9,879","10,653","11,013","11,005","11,259","11,641","11,750","12,124","12,731","13,179","13,174","13,383","13,409","13,873","14,408","14,827","15,228","15,199","15,780","15,804","16,419","16,806","17,062","17,578","18,827"
ITL2,TLL5,South East Wales,"9,009","9,043","9,546","10,240","10,638","10,986","11,342","11,767","12,016","12,380","12,833","13,294","13,249","13,452","13,666","14,071","14,392","14,835","15,376","15,541","16,101","16,835","17,329","17,540","18,128","18,870","20,129"
ITL3,TLL51,Central Valleys and Bridgend,"8,237","8,156","8,506","9,233","9,735","10,062","10,373","10,900","11,253","11,556","11,936","12,366","12,391","12,558","12,714","13,159","13,568","13,943","14,382","14,462","15,010","15,631","16,044","16,423","16,864","17,606","18,885"
ITL3,TLL52,Cardiff and Vale of Glamorgan,"9,889","10,086","10,588","11,140","11,505","11,955","12,327","12,719","12,913","13,499","13,804","14,350","14,435","14,633","14,842","15,077","15,362","15,813","16,458","16,510","17,255","18,256","18,785","18,806","19,646","20,160","21,179"
ITL3,TLL53,Gwent Valleys,"8,449","8,461","8,983","9,705","9,977","10,127","10,599","11,034","11,132","11,210","11,672","11,995","11,967","12,190","12,404","12,907","13,296","13,618","14,133","14,482","14,884","15,398","15,894","16,279","16,637","17,539","18,934"
ITL3,TLL54,Monmouthshire and Newport,"9,635","9,587","10,346","11,186","11,641","12,104","12,339","12,608","12,971","13,429","14,278","14,805","14,329","14,559","14,870","15,383","15,505","16,225","16,772","17,037","17,455","18,143","18,699","18,718","19,360","20,267","21,733"
ITL1,TLM,Scotland,"9,560","9,782","10,151","10,740","11,278","11,668","12,066","12,648","13,078","13,692","14,399","15,005","15,198","15,408","15,699","16,190","16,774","17,189","17,715","17,856","18,185","18,619","19,361","19,345","20,000","21,133","22,908"
ITL2,TLM0,Eastern Scotland,"9,514","9,778","10,032","10,568","11,140","11,447","11,799","12,540","12,805","13,220","14,009","14,620","14,714","14,811","15,188","15,599","16,249","16,615","17,174","17,412","17,767","18,089","18,743","18,748","19,300","20,547","22,361"
ITL3,TLM01,Clackmannanshire and Fife,"8,918","9,234","9,572","10,046","10,483","10,928","11,289","11,881","12,178","12,268","13,216","13,853","14,041","14,257","14,452","14,862","15,508","15,847","16,503","16,788","17,186","17,456","18,067","18,158","18,561","19,976","21,867"
ITL3,TLM02,"Perth and Kinross, and Stirling","11,053","11,300","11,281","11,797","12,529","12,436","12,996","14,295","14,645","15,644","16,153","16,374","16,418","16,508","17,297","17,729","18,291","18,629","19,228","19,429","19,933","20,288","21,069","20,905","21,737","23,098","25,169"
ITL3,TLM03,Angus and Dundee City,"9,132","9,318","9,669","10,314","10,961","11,399","11,550","12,034","12,172","12,580","13,357","14,267","14,254","14,162","14,455","14,845","15,585","16,014","16,376","16,564","16,713","17,086","17,694","17,714","18,240","19,101","20,546"
