"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLD41,Blackburn with Darwen,"8,318","8,327","8,774","8,772","9,077","9,028","9,446","9,766","10,220","10,520","10,691","10,734","10,992","11,324","11,272","11,415","11,474","11,854","12,107","12,220","13,233","13,946","14,267","14,622","15,178","15,768","17,049"
ITL3,TLD42,Blackpool,"9,368","9,516","9,765","10,378","10,497","10,643","10,544","10,830","10,956","11,222","11,711","11,997","12,546","12,782","13,250","13,307","13,637","13,965","14,492","14,846","15,306","15,569","16,109","16,328","16,746","17,457","18,846"
ITL3,TLD44,Lancaster and Wyre,"8,983","9,184","9,527","10,072","10,552","10,854","11,212","11,628","12,041","12,426","12,938","13,294","14,095","14,144","14,272","14,569","15,148","15,609","16,069","16,323","17,189","17,894","18,231","18,403","18,751","19,566","21,308"
ITL3,TLD45,Mid Lancashire,"10,561","10,690","11,033","11,615","12,181","12,319","12,711","13,170","13,646","14,080","14,604","14,914","15,471","15,491","15,641","15,947","16,441","16,822","17,664","17,966","18,420","18,859","19,491","19,608","20,175","21,170","23,033"
ITL3,TLD46,East Lancashire,"8,138","8,255","8,586","9,021","9,418","9,592","9,962","10,446","10,990","11,349","11,969","12,438","12,893","13,019","13,218","13,389","13,599","13,869","14,480","14,749","14,999","15,186","15,638","15,811","16,141","17,005","18,455"
ITL3,TLD47,Chorley and West Lancashire,"10,147","10,202","10,646","11,272","11,752","11,974","12,364","12,835","13,385","13,838","14,388","14,699","15,213","15,236","15,648","15,977","16,429","16,782","17,879","17,707","18,326","18,929","19,664","19,732","20,348","21,161","23,133"
ITL2,TLD6,Cheshire,"11,135","11,261","11,879","12,349","12,688","13,365","13,960","14,598","15,052","15,498","16,120","16,431","16,863","16,914","17,015","17,700","18,363","18,903","20,061","20,008","20,627","21,457","22,169","22,088","22,713","23,785","25,962"
ITL3,TLD61,Warrington,"10,173","10,340","10,879","11,718","12,277","12,458","12,843","13,544","13,815","14,335","15,073","15,163","15,328","15,481","15,778","16,570","16,751","17,299","18,587","18,429","18,688","19,421","20,327","20,390","21,111","22,238","24,301"
ITL3,TLD62,Cheshire East,"11,890","12,044","12,683","13,064","13,330","14,197","14,816","15,344","15,843","16,375","16,942","17,234","17,747","17,762","17,834","18,478","19,539","20,227","21,734","21,643","22,476","23,669","24,294","24,103","24,830","25,704","28,036"
ITL3,TLD63,Cheshire West and Chester,"10,874","10,945","11,591","11,941","12,231","12,992","13,682","14,401","14,910","15,221","15,836","16,300","16,807","16,840","16,855","17,521","18,040","18,415","19,104","19,159","19,764","20,245","20,925","20,868","21,289","22,534","24,584"
ITL2,TLD7,Merseyside,"9,174","9,327","9,805","10,207","10,555","10,845","11,237","11,641","11,969","12,348","12,915","13,125","13,738","13,895","13,990","14,481","14,961","15,307","15,916","16,067","16,437","16,810","17,380","17,621","18,021","18,862","20,431"
ITL3,TLD71,East Merseyside,"8,074","8,192","8,675","9,292","9,760","9,982","10,377","10,884","11,319","11,736","12,353","12,653","13,137","13,267","13,394","13,795","14,141","14,460","15,102","15,429","16,126","16,578","17,118","17,375","17,608","18,430","20,020"
ITL3,TLD72,Liverpool,"8,369","8,419","8,948","9,380","9,867","10,040","10,400","10,834","11,034","11,555","11,986","11,975","12,631","12,834","12,941","13,450","13,908","14,423","15,027","15,027","15,167","15,442","15,996","16,395","16,915","17,572","18,976"
ITL3,TLD73,Sefton,"11,212","11,446","11,768","11,629","11,468","11,875","12,237","12,643","13,224","13,459","13,950","14,244","15,046","15,198","15,306","15,887","16,500","16,560","17,222","17,430","17,705","17,929","18,499","18,770","19,236","20,307","21,904"
ITL3,TLD74,Wirral,"10,044","10,327","10,853","11,391","11,826","12,281","12,744","12,970","13,125","13,380","14,140","14,470","15,045","15,189","15,222","15,736","16,327","16,705","17,241","17,335","17,683","18,237","18,877","18,826","19,238","20,218","22,005"
ITL1,TLE,Yorkshire and The Humber,"9,484","9,735","10,206","10,633","10,988","11,256","11,626","12,015","12,302","12,733","13,252","13,422","13,786","13,843","14,066","14,479","14,888","15,302","16,023","16,108","16,585","17,166","17,713","17,896","18,427","19,387","21,027"
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,"9,031","9,254","9,832","10,174","10,506","10,798","11,182","11,603","11,922","12,294","12,787","12,929","13,266","13,404","13,767","14,111","14,341","14,695","15,392","15,552","16,069","16,680","17,181","17,473","17,935","18,900","20,464"
ITL3,TLE11,"Kingston upon Hull, City of","7,351","7,557","8,096","8,763","9,273","9,497","9,644","9,831","10,010","10,133","10,525","10,756","11,265","11,441","11,774","12,011","12,145","12,512","12,895","13,070","13,449","13,893","14,244","14,699","15,173","15,910","17,001"
ITL3,TLE12,East Riding of Yorkshire,"10,444","10,587","11,458","11,613","11,673","12,055","12,592","13,187","13,703","14,281","14,639","14,817","15,249","15,415","15,705","16,039","16,404","16,796","17,907","17,989","18,579","19,412","19,949","20,001","20,613","21,759","23,705"
ITL3,TLE13,North and North East Lincolnshire,"9,059","9,355","9,642","9,877","10,317","10,555","10,965","11,393","11,623","11,979","12,681","12,713","12,810","12,887","13,346","13,792","13,972","14,282","14,826","15,064","15,630","16,151","16,728","17,106","17,377","18,330","19,876"
ITL2,TLE2,North Yorkshire,"11,145","11,769","12,127","12,184","12,646","13,091","13,426","13,747","14,394","15,233","15,796","16,098","16,753","16,661","16,895","17,510","18,005","18,364","19,479","19,564","20,188","21,109","21,730","21,676","22,465","23,628","25,918"
