Year,GDP_GBP,Income,Ratio,Gini
1960.0,1090.123946561832,,,
1961.0,1148.4608569813704,,,
1962.0,1190.1051651140497,,,
1963.0,1258.4963693124575,,,
1964.0,1363.664731738998,,,
1965.0,1461.382863996284,,,
1966.0,1549.662783783543,,,
1967.0,1605.8498679448367,,,
1968.0,1522.3717047827497,,,
1969.0,1638.5209374976416,,,
1970.0,1831.0845678352266,,,
1971.0,2066.8451808203395,,,
1972.0,2363.737361013421,,,
1973.0,2672.495451992949,,,
1974.0,2859.372982160682,,,
1975.0,3353.801582034416,,,
1976.0,3227.770874339973,,,
1977.0,3651.523146749696,,,
1978.0,4662.01177181993,,,
1979.0,6087.714422799009,,,
1980.0,7825.008422411701,,,
1981.0,7487.458853331327,,,
1982.0,7133.9403384744455,,,
1983.0,6779.38467419081,,,
1984.0,6379.77166370693,,,
1985.0,6748.728903131226,,,
1986.0,8276.667523874881,,,
1987.0,10232.49749701062,,,
1988.0,12469.991100503665,,,
1989.0,12666.640112953633,,,
1990.0,14894.464258799426,,,
1991.0,15522.56678739538,,,
1992.0,15979.993212524483,,,
1993.0,14343.435262657722,,,
1994.0,15373.205716724933,,,
1995.0,18137.040255938995,,,
1996.0,19112.638709026432,,,
1997.0,20989.907759332356,10596.0,3.49,
1998.0,22149.154836745016,10814.0,3.62,
1999.0,22509.245095983828,11298.0,3.855,
2000.0,22139.42336540969,11889.0,4.15,
2001.0,21850.820911569623,12353.0,4.48,
2002.0,23523.787389012923,12643.0,5.1899999999999995,
2003.0,26954.28263548059,13022.0,6.13,
2004.0,31593.441212106383,13556.0,6.87,
2005.0,32947.39211302866,14038.0,7.07,
2006.0,34862.22559827072,14618.0,7.18,
2007.0,39490.68233548519,15297.0,7.51,
2008.0,37168.87439396672,15695.0,7.24,
2009.0,30427.309812730036,15963.0,6.5649999999999995,
2010.0,31027.09120122807,16111.0,7.03,
2011.0,32990.82335915512,16270.0,6.91,
2012.0,33296.89457081301,16870.0,6.78,
2013.0,34013.447355915145,17506.0,6.87,
2014.0,37242.06889724584,18061.0,7.24,
2015.0,35299.169038864304,19004.0,7.7,
2016.0,32181.16867255337,19228.0,8.1,
2017.0,31915.112975487616,19677.0,8.55,
2018.0,34088.33815164687,20407.0,8.71,
2019.0,33663.81807885119,21016.0,8.515,
2020.0,31833.88998378256,20978.0,8.57,
2021.0,37199.27396635351,21729.0,9.41,
2022.0,36704.49371875962,22907.0,9.13,
2023.0,38956.68676568768,24836.0,9.08,
2024.0,41532.166739318425,,8.28,
