Region,Year,Income,Ratio
East Midlands,2020,18455,7.28
West Midlands,2020,18000,7.395
London,2020,29162,14.04
South East,2020,23856,10.585
South West,2020,20774,9.14
Wales,2020,17598,5.705
North East,2021,17658,5.6850000000000005
North West,2021,18894,6.58
Yorkshire and The Humber,2021,18427,6.02
East Midlands,2021,19026,8.25
West Midlands,2021,18547,7.985
London,2021,30714,15.26
South East,2021,24693,11.5
South West,2021,21484,10.385
Wales,2021,18150,6.57
North East,2022,18419,5.244999999999999
North West,2022,19837,6.37
Yorkshire and The Humber,2022,19387,5.98
East Midlands,2022,19995,7.8
West Midlands,2022,19506,7.88
London,2022,32553,14.09
South East,2022,26066,11.375
South West,2022,22744,9.850000000000001
Wales,2022,18858,6.295
North East,2023,19977,5.3
North West,2023,21543,6.27
Yorkshire and The Humber,2023,21027,5.78
East Midlands,2023,21656,7.59
West Midlands,2023,21141,7.605
London,2023,35361,14.05
South East,2023,28187,11.285
South West,2023,24854,9.625
Wales,2023,20140,6.065
